['02:05:06.473]', 3995]

['02:07:07.487]', 3994]

['02:09:08.351]', 3996]

['02:11:09.548]', 3993]

['02:13:10.441]', 3994]

['02:15:11.621]', 3994]

['02:17:12.747]', 3995]

['02:19:13.885]', 3994]

['02:21:14.716]', 3994]

['02:23:15.677]', 3993]

['02:25:16.709]', 3992]

['02:27:17.702]', 3993]

['02:29:18.762]', 3992]

['02:38:22.719]', 3993]

['02:40:23.974]', 3994]

['02:42:24.837]', 3993]

['02:44:25.770]', 3993]

['02:46:26.689]', 3993]

['02:48:27.627]', 3992]

['02:50:28.847]', 3990]

['02:52:29.748]', 3991]

['02:54:30.707]', 3990]

['02:56:31.517]', 3991]

['02:58:32.541]', 3990]

['03:00:33.632]', 3985]

['03:02:34.648]', 3990]

['03:05:36.011]', 3992]

['03:07:36.983]', 3991]

['03:13:40.259]', 3989]

['03:15:41.164]', 3990]

['03:25:46.180]', 3991]

['03:45:06.069]', 3994]

['03:55:00.678]', 3988]

['03:57:01.655]', 3988]

['04:29:16.897]', 3985]

['04:31:17.789]', 3987]

['05:05:33.333]', 3983]

['05:07:34.552]', 3983]

['05:09:35.590]', 3984]

['05:11:36.575]', 3983]

['05:13:37.428]', 3985]

['05:17:39.653]', 3979]

['05:19:40.625]', 3984]

['05:42:51.544]', 3983]

['05:44:52.362]', 3981]

['05:50:55.543]', 3982]

['05:52:56.553]', 3980]

['05:54:57.597]', 3980]

['05:58:59.755]', 3980]

['06:12:06.103]', 3981]

['06:14:07.067]', 3980]

['06:17:08.754]', 3979]

['06:27:13.944]', 3980]

['06:29:14.825]', 3980]

['06:31:15.732]', 3979]

['06:33:16.662]', 3980]

['06:35:17.764]', 3978]

['06:37:18.820]', 3978]

['06:39:19.756]', 3974]

['06:42:21.318]', 3978]

['06:45:22.598]', 3978]

['06:47:23.520]', 3980]

['06:49:24.533]', 3977]

['06:51:25.450]', 3978]

['06:53:26.440]', 3979]

['06:55:27.203]', 3978]

['06:57:28.266]', 3978]

['06:59:29.144]', 3978]

['07:01:30.106]', 3977]

['07:03:31.086]', 3977]

['07:05:32.018]', 3978]

['07:07:33.091]', 3976]

['07:09:34.243]', 3977]

['07:11:35.264]', 3977]

['07:13:36.030]', 3978]

['07:15:36.900]', 3977]

['07:17:37.957]', 3975]

['07:19:38.870]', 3977]

['07:21:39.832]', 3976]

